"X1","Kingdom","Phylum","Class","Order","Family","Genus","Species","spore","temp"
"ASV4020","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Garciella",NA,NA,NA
"ASV4034","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_6","cellulovorans",NA,NA
"ASV4041","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Sediminibacillus",NA,NA,NA
"ASV4043","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Azoarcus",NA,NA,NA
"ASV4052","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella",NA,NA,NA
"ASV4053","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Edaphobacter",NA,NA,NA
"ASV4056","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Demequinaceae","Demequina","globuliformis",NA,NA
"ASV4072","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","bowdenii",NA,NA
"ASV4073","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella",NA,NA,NA
"ASV4084","Archaea","Euryarchaeota","Methanomicrobia","Methanocellales","Methanocellaceae","Rice_Cluster_I",NA,NA,NA
"ASV4086","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Diaphorobacter",NA,NA,NA
"ASV4087","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","Rubinisphaera",NA,NA,NA
"ASV4093","Eukaryota","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Sporisorium",NA,NA,NA
"ASV4095","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","Thermomicrobiaceae","Sphaerobacter","thermophilus",NA,NA
"ASV4096","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Turicella","otitidis",NA,NA
"ASV4107","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","aestuarii",NA,NA
"ASV4112","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Flaviflexus",NA,NA,NA
"ASV4118","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerosphaera","taetra",NA,NA
"ASV4119","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus","senegalensis",NA,NA
"ASV4122","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Marinococcus",NA,NA,NA
"ASV4134","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Sinibacillus",NA,NA,NA
"ASV4136","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","daechungensis",NA,NA
"ASV4145","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia","mesophila",NA,NA
"ASV4147","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","luteolum",NA,NA
"ASV4159","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella",NA,NA,NA
"ASV4163","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Sanguibacteraceae","Sanguibacter",NA,NA,NA
"ASV4186","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Shimazuella",NA,NA,NA
"ASV4189","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus","anaerobius",NA,NA
"ASV4199","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Idiomarina",NA,NA,NA
